Model,Accuracy,Precision,Recall,Specificity,F1,BalancedAccuracy,NumberOfFeatures
Mean HR only,78.2022471910112,74.4186046511628,60,88.4210526315789,66.4359861591695,74.2105263157895,1
HR statistics,81.123595505618,77.536231884058,66.875,89.1228070175439,71.8120805369127,77.9989035087719,5
Classical HRV,81.123595505618,76.7605633802817,68.125,88.4210526315789,72.1854304635762,78.2730263157895,5
Distribution features,81.7977528089888,78.0141843971631,68.75,89.1228070175439,73.0897009966777,78.9364035087719,3
HR + Classical HRV,80.8988764044944,76.2237762237762,68.125,88.0701754385965,71.9471947194719,78.0975877192982,10
All 13 features,81.5730337078652,77.0833333333333,69.375,88.4210526315789,73.0263157894737,78.8980263157895,13
