Model,Accuracy,Precision,Recall,Specificity,F1,BalancedAccuracy,NumberOfFeatures
Delta HR only,89.2134831460674,95.9016393442623,73.125,98.2456140350877,82.9787234042553,85.6853070175438,1
Delta HR + Delta SDNN,89.2134831460674,94.4444444444444,74.375,97.5438596491228,83.2167832167832,85.9594298245614,2
Delta HR + Delta RMSSD,88.9887640449438,95.1219512195122,73.125,97.8947368421053,82.6855123674912,85.5098684210526,2
Delta HR + Delta pNN50,91.685393258427,95.5555555555556,80.625,97.8947368421053,87.4576271186441,89.2598684210526,2
Delta HR + Classical HRV,91.4606741573034,95.5223880597015,80,97.8947368421053,87.0748299319728,88.9473684210526,4
Delta HR + HRV distribution,92.5842696629213,96.3503649635037,82.5,98.2456140350877,88.8888888888889,90.3728070175438,7
All personalized features,92.3595505617978,95,83.125,97.5438596491228,88.6666666666667,90.3344298245614,13
