Model,Accuracy,Precision,Recall,Specificity,F1
HR only,77.0786516853933,73.015873015873,57.5,88.0701754385965,64.3356643356643
HR + SDNN,80,76.2962962962963,64.375,88.7719298245614,69.8305084745763
HR + RMSSD,80.2247191011236,77.2727272727273,63.75,89.4736842105263,69.8630136986301
HR + pNN50,80.6741573033708,79.8387096774193,61.875,91.2280701754386,69.7183098591549
All features,80.8988764044944,79.0697674418605,63.75,90.5263157894737,70.5882352941176
