Feature,Description,LR_Mean_Coef,LR_Coef_Std,Odds_Ratio,LR_Mean_AUC_Drop,LR_AUC_Drop_Std,LR_Mean_F1_Drop,RF_Mean_AUC_Drop,RF_AUC_Drop_Std,RF_Mean_F1_Drop
MeanRR,Mean RR interval duration - Reciprocal of cardiac pacing rate,-2.741,0.0728,0.0645,0.1766,0.1003,0.2321,0.0396,0.05,0.0976
pNN50,Percentage of intervals >50ms diff - Vagal cardiac modulation,1.4057,0.1522,4.0784,0.0596,0.147,0.0606,0.042,0.0876,0.0178
HR_IQR,Interquartile Range of instantaneous HR - Robust heart rate spread,0.8957,0.1217,2.449,0.0241,0.0479,0.0439,0.0114,0.0284,0.0037
MeanHR,Mean Heart Rate (BPM) - Sympathetic activation index,1.7308,0.088,5.6453,0.0203,0.0326,0.1021,0.0498,0.0535,0.1401
SDNN,Standard Dev of NN intervals - Overall autonomic variability,-0.7711,0.1312,0.4625,0.0078,0.0233,0.0042,0.004,0.0162,0.0013
RR_IQR,Interquartile Range of RR intervals - Robust variability metric,-0.5802,0.099,0.5598,0.0073,0.0182,-0.0095,0.0039,0.0202,-0.0029
RR_CV,Coefficient of Variation of RR intervals - Normalized dispersion,0.2786,0.1098,1.3213,0.0044,0.0129,0.0019,0.003,0.018,-0.003
RMSSD,Root Mean Sq of Successive Differences - Parasympathetic / Vagal tone,-0.0235,0.1206,0.9768,-0.0015,0.0071,-0.0036,0.0038,0.0381,-0.0028
