Threshold,Accuracy,Precision,Recall,Specificity,F1,BalancedAccuracy
0.1,82.247191011236,68.8372093023256,92.5,76.4912280701754,78.9333333333333,84.4956140350877
0.11,83.5955056179775,70.8133971291866,92.5,78.5964912280702,80.2168021680217,85.5482456140351
0.12,84.0449438202247,71.4975845410628,92.5,79.2982456140351,80.6539509536785,85.8991228070175
0.13,85.8426966292135,74.3718592964824,92.5,82.1052631578947,82.4512534818942,87.3026315789474
0.14,86.5168539325843,75.7731958762887,91.875,83.5087719298246,83.0508474576271,87.6918859649123
0.15,87.4157303370787,77.6595744680851,91.25,85.2631578947368,83.9080459770115,88.2565789473684
0.16,88.0898876404494,78.9189189189189,91.25,86.3157894736842,84.6376811594203,88.7828947368421
0.17,88.9887640449438,80.6629834254144,91.25,87.719298245614,85.6304985337243,89.484649122807
0.18,89.6629213483146,82.0224719101124,91.25,88.7719298245614,86.3905325443787,90.0109649122807
0.19,89.8876404494382,82.8571428571429,90.625,89.4736842105263,86.5671641791045,90.0493421052632
0.2,90.1123595505618,83.3333333333333,90.625,89.8245614035088,86.8263473053892,90.2247807017544
0.21,90.7865168539326,85.6287425149701,89.375,91.5789473684211,87.4617737003058,90.4769736842105
0.22,90.561797752809,85.5421686746988,88.75,91.5789473684211,87.1165644171779,90.1644736842105
0.23,90.7865168539326,86.5030674846626,88.125,92.280701754386,87.3065015479876,90.202850877193
0.24,90.7865168539326,86.9565217391304,87.5,92.6315789473684,87.2274143302181,90.0657894736842
0.25,90.7865168539326,86.9565217391304,87.5,92.6315789473684,87.2274143302181,90.0657894736842
0.26,90.7865168539326,86.9565217391304,87.5,92.6315789473684,87.2274143302181,90.0657894736842
0.27,90.7865168539326,87.4213836477987,86.875,92.9824561403509,87.1473354231975,89.9287280701755
0.28,91.2359550561798,88.5350318471338,86.875,93.6842105263158,87.6971608832808,90.2796052631579
0.29,91.2359550561798,88.5350318471338,86.875,93.6842105263158,87.6971608832808,90.2796052631579
0.3,91.2359550561798,88.5350318471338,86.875,93.6842105263158,87.6971608832808,90.2796052631579
0.31,91.685393258427,89.6774193548387,86.875,94.3859649122807,88.2539682539683,90.6304824561404
0.32,91.685393258427,89.6774193548387,86.875,94.3859649122807,88.2539682539683,90.6304824561404
0.33,91.9101123595506,90.2597402597403,86.875,94.7368421052632,88.5350318471338,90.8059210526316
0.34,92.1348314606742,90.8496732026144,86.875,95.0877192982456,88.8178913738019,90.9813596491228
0.35,92.3595505617978,92,86.25,95.7894736842105,89.0322580645161,91.0197368421053
0.36,92.3595505617978,92.5675675675676,85.625,96.140350877193,88.961038961039,90.8826754385965
0.37,91.9101123595506,92.4657534246575,84.375,96.140350877193,88.2352941176471,90.2576754385965
0.38,91.685393258427,92.4137931034483,83.75,96.140350877193,87.8688524590164,89.9451754385965
0.39,91.685393258427,92.4137931034483,83.75,96.140350877193,87.8688524590164,89.9451754385965
0.4,91.9101123595506,93.0555555555556,83.75,96.4912280701754,88.1578947368421,90.1206140350877
0.41,91.685393258427,93.006993006993,83.125,96.4912280701754,87.7887788778878,89.8081140350877
0.42,91.9101123595506,93.6619718309859,83.125,96.8421052631579,88.0794701986755,89.983552631579
0.43,91.9101123595506,93.6619718309859,83.125,96.8421052631579,88.0794701986755,89.983552631579
0.44,92.3595505617978,95,83.125,97.5438596491228,88.6666666666667,90.3344298245614
0.45,92.3595505617978,95,83.125,97.5438596491228,88.6666666666667,90.3344298245614
0.46,92.3595505617978,95,83.125,97.5438596491228,88.6666666666667,90.3344298245614
0.47,92.3595505617978,95,83.125,97.5438596491228,88.6666666666667,90.3344298245614
0.48,92.1348314606742,94.9640287769784,82.5,97.5438596491228,88.2943143812709,90.0219298245614
0.49,92.1348314606742,94.9640287769784,82.5,97.5438596491228,88.2943143812709,90.0219298245614
0.5,92.1348314606742,94.9640287769784,82.5,97.5438596491228,88.2943143812709,90.0219298245614
0.51,92.1348314606742,94.9640287769784,82.5,97.5438596491228,88.2943143812709,90.0219298245614
0.52,92.1348314606742,94.9640287769784,82.5,97.5438596491228,88.2943143812709,90.0219298245614
0.53,92.1348314606742,94.9640287769784,82.5,97.5438596491228,88.2943143812709,90.0219298245614
0.54,92.3595505617978,95.6521739130435,82.5,97.8947368421053,88.5906040268456,90.1973684210526
0.55,92.5842696629213,96.3503649635037,82.5,98.2456140350877,88.8888888888889,90.3728070175438
0.56,92.5842696629213,96.3503649635037,82.5,98.2456140350877,88.8888888888889,90.3728070175438
0.57,92.3595505617978,96.3235294117647,81.875,98.2456140350877,88.5135135135135,90.0603070175439
